,,1st Semester 
,,
Subject Code,Course Description,Units 
,,
MAT 500,Calculus II (differential calculus),4
MAT 502,Logic and Set Theory ,3
MAT 304,Advance Statistic ,3
EDFS 01,Field Study 1,3
EDFS 02,Field Study 2,3
,,
,,
,,
,,
,,
,,
,,2nd Semester 
,,
Subject Code,Course Description,Units 
,,
MAT 421,Assessment and Evaluation in Mathematics ,3
MAT 501,Calculus III (integral calculus),3
MAT 103,Mathematics of Investment ,3
EDU 602,Teaching Internship,6
