,,1st Semester
,,
Subject Code,Course Description ,Units
,,
MGT 411,Bussiness Research 1,3
MGT 304,Global and International  Trade,3
MGT 414,Entreprenurial Management,3
MGT 415,Marketing Management ,3
,,
,,
,,2nd Semester
,,
,,
,,
Subject Code,Course Description ,Units
,,
MGT 421,Bussiness Research 2,3
FIN 400,Financial Management ,3
MGT 412,Special Topics In Operations Management,3
